name,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,url,County,City,State,Country
Sofitel Miami,0x88d9aa27747f0b15:0x500e3f1ec7465a06,25.782057599999998,-80.2919726,Hotel,4.3,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9aa27747f0b15:0x500e3f1ec7465a06?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Hotel Nuvo,0x88d9b6868ab90381:0x508356ca3871b219,25.7592437,-80.1935709,Hotel,4.7,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6868ab90381:0x508356ca3871b219?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
5 Star Island,0x88d9b45d0a6bd1b3:0x306ab9373598a834,25.775873999999998,-80.15137059999999,Hotel,4.1,38,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b45d0a6bd1b3:0x306ab9373598a834?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Chic Place at Lincoln,0x88d9b48631b789f5:0xbdc672cb7ed4f261,25.789412199999997,-80.1396091,Hotel,4.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b48631b789f5:0xbdc672cb7ed4f261?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Graduate Roosevelt Island,0x89c258dea0149fbd:0xcde930e32153cf2b,40.756367999999995,-73.9556302,Hotel,4.9,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258dea0149fbd:0xcde930e32153cf2b?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
"The Draper, Ascend Hotel Collection",0x89c2592b35aba911:0x14e7dec81e2a5ebe,40.7504916,-73.9838917,Hotel,5.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2592b35aba911:0x14e7dec81e2a5ebe?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
La Semana Inn,0x89c259a444118361:0x77bd35accce72d41,40.743004299999996,-73.9907131,Hotel,2.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a444118361:0x77bd35accce72d41?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Ian Schrager Co,0x89c2599553541fdb:0xfd9b1a37079e91a4,40.7383266,-74.0066684,Hotel,5.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2599553541fdb:0xfd9b1a37079e91a4?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Godfrey's Rustic Cabins,0x87c8400504403d1d:0x87d809e90dcbb28a,36.852187,-94.71958289999999,Hotel,4.8,28,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87c8400504403d1d:0x87d809e90dcbb28a?authuser=-1&hl=en&gl=us,Ottawa County,Miami,Oklahoma,United States
Studio Suite in Historic Miami,0x88d9b6f05ea14665:0xe93e9c154d4e3bd1,25.7679659,-80.219303,Hotel,4.0,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6f05ea14665:0xe93e9c154d4e3bd1?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
ORLANDO METROPOLITAN EXPRESS,0x88e77efcf1f2fca1:0xe5a2a6dba854b39f,28.4612496,-81.468097,Hotel,1.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77efcf1f2fca1:0xe5a2a6dba854b39f?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Trump National Doral Miami,0x88d9b962167c6ad7:0xae19f74da0f83273,25.812286099999998,-80.33700429999999,Hotel,3.3,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b962167c6ad7:0xae19f74da0f83273?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Best Western Plus Atlantik,0x88d9b39aa3559053:0x677282a59e0e03c5,25.8133029,-80.1224441,Hotel,3.5,55,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b39aa3559053:0x677282a59e0e03c5?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
New Ebony Hotel,0x89c2f6175614170d:0x971f716f464b1d23,40.800419399999996,-73.95405099999999,Hotel,3.3,248,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f6175614170d:0x971f716f464b1d23?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Hotel Doral,0x88d9b9a4451b7165:0xfe43eebd47b65f28,25.7807083,-80.313772,Hotel,4.0,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b9a4451b7165:0xfe43eebd47b65f28?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Homewood Suite By Hilton Convention Center,0x89c25a221bbde641:0xde061f6300e34e93,40.7134248,-74.00552449999999,Hotel,4.5,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25a221bbde641:0xde061f6300e34e93?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
CubeSmart,0x88e77f7e68b8546b:0x5484e0b2aa33a416,28.4494762,-81.4808267,Hotel,5.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f7e68b8546b:0x5484e0b2aa33a416?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel Des Artistes,0x89c258f4c6878449:0x988989be763ef302,40.773502,-73.9789261,Hotel,4.9,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258f4c6878449:0x988989be763ef302?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Quality Inn Convention Center,0x89c259b2f05408cd:0x5fe4da8fac293fc3,40.7553166,-73.9973521,Hotel,3.5,36,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259b2f05408cd:0x5fe4da8fac293fc3?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Comfort Inn Times Square South Area,0x89c259acdbeeb0db:0x314d995b11692563,40.755735,-73.991542,Hotel,3.4,285,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259acdbeeb0db:0x314d995b11692563?authuser=-1&hl=en&gl=kr,New York County,New York,New York,United States
Lake House Apartments,0x88d9bf0f6d589633:0xd2f600ffc1be75f9,25.7568953,-80.40248129999999,Hotel,4.0,17,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9bf0f6d589633:0xd2f600ffc1be75f9?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Hotel Indigo Miami Dadeland,0x88d9c7a6c67102d3:0xef6e3fdb3a27a7c8,25.687863999999998,-80.31889699999999,Hotel,3.8,48,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c7a6c67102d3:0xef6e3fdb3a27a7c8?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Mimosa on the Canal,0x88d9b2eeebcd3df7:0xb689d86a3fcd7ef3,25.862078,-80.1276851,Hotel,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b2eeebcd3df7:0xb689d86a3fcd7ef3?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Holiday Inn Express Lake Buena Vista,0x88dd8017d8386df9:0x95345bac8139657,28.3848555,-81.50282659999999,Hotel,3.2,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8017d8386df9:0x95345bac8139657?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel Clairon Orlando,0x88dd8015c8d2b43b:0xec8b8a627eab4bf,28.3865531,-81.4982581,Hotel,4.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8015c8d2b43b:0xec8b8a627eab4bf?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Wyndham Garden Hotel,0x88d9b48de77ea393:0x4a962561757ef9c6,25.781844099999997,-80.1330291,Hotel,3.2,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b48de77ea393:0x4a962561757ef9c6?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Wyndham SP650,0x88e77dd3d5ed2ac9:0x195af2d633c75d31,28.4432562,-81.4201278,Hotel,4.7,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77dd3d5ed2ac9:0x195af2d633c75d31?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
מלון אדיסון,0x89c25855c94c74d3:0xc95ae99e0bd55,40.7596572,-73.9861121,Hotel,3.9,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25855c94c74d3:0xc95ae99e0bd55?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Richmond Studio Apartments,0x88d9b49b5e7beefd:0x1f1e585fe7d9e78e,25.793457,-80.13044599999999,Hotel,2.1,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b49b5e7beefd:0x1f1e585fe7d9e78e?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Fiji Longhouse at Disney's Polynesian Village Resort,0x88dd7e1946779a21:0xcfd337b212deece7,28.4062368,-81.586024,Hotel,5.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd7e1946779a21:0xcfd337b212deece7?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Convention Parking West,0x88e77fb567774d1b:0x8cb8e317de1dfeaa,28.4293108,-81.47260829999999,Hotel,4.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77fb567774d1b:0x8cb8e317de1dfeaa?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Miami Shores Motel,0x88d9b23d90257781:0x341a24dab795d643,25.8721396,-80.1730987,Hotel,2.6,27,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b23d90257781:0x341a24dab795d643?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Shores,Florida,United States
17 John St Associates,0x89c25a183a90dd95:0x5e007ece3643f3b4,40.71,-74.00869999999999,Hotel,4.7,25,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25a183a90dd95:0x5e007ece3643f3b4?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Grove Isle Hotel & Spa,0x88d9b6479c1537a5:0xf99e4e2fc4e7a192,25.7369727,-80.21773689999999,Hotel,4.2,45,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6479c1537a5:0xf99e4e2fc4e7a192?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Lake Buena Vista Resort Village & Spa Building #2,0x88dd81b0fa2e86b7:0x59ff183f7db77845,28.3510055,-81.485939,Hotel,4.0,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd81b0fa2e86b7:0x59ff183f7db77845?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel,0x89c2f752b636cf23:0xf6305f33ad03967f,40.7985691,-73.960022,Hotel,4.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f752b636cf23:0xf6305f33ad03967f?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Casablanca by Suarez Vacation Rentals,0x88d9b3bf9b168563:0x4fd337ba733d3377,25.845269899999998,-80.12011679999999,Hotel,2.4,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b3bf9b168563:0x4fd337ba733d3377?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Hotel Miami,0x88d9beca451f5a1b:0x4adbef810d90b4bb,25.7902833,-80.3694333,Hotel,4.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9beca451f5a1b:0x4adbef810d90b4bb?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Building 72,0x88dd8081ac8aa197:0xf533bb0ecd874975,28.4031412,-81.4689226,Hotel,4.7,28,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8081ac8aa197:0xf533bb0ecd874975?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Willard Hotel,0x88d9b6a69300019d:0x71211a478655e447,25.7882711,-80.19186429999999,Hotel,1.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6a69300019d:0x71211a478655e447?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
The House on Royal Palm,0x88e77ac67d9bebe3:0x4933374c9764e41e,28.554422,-81.353053,Hotel,5.0,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77ac67d9bebe3:0x4933374c9764e41e?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
114 West 40th Street,0x89c259ab62ac1ea9:0x88424aadb214e624,40.754093499999996,-73.9888524,Hotel,3.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259ab62ac1ea9:0x88424aadb214e624?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Crestwood Suites,0x88e76893054f11f9:0x11e3f9ca2e1499a0,28.5961666,-81.2223206,Extended stay hotel,2.4,94,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76893054f11f9:0x11e3f9ca2e1499a0?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Comfort Suites-Orlando,0x88e77fb5c220fb97:0xb199b7d879d054de,28.4306099,-81.4760896,Hotel,3.5,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77fb5c220fb97:0xb199b7d879d054de?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Deauville Beach Resort,0x88d9b38535d50597:0x14295860f859f72e,25.850925399999998,-80.12016229999999,Hotel,3.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b38535d50597:0x14295860f859f72e?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
The Jefferson Hotel,0x88d9b68d36642d07:0x9688dd9fdd8c8fee,25.7682438,-80.20947269999999,Hotel,3.5,140,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b68d36642d07:0x9688dd9fdd8c8fee?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Fairfield Inn-International Drive,0x88e77eff6afeb69b:0xd5ad5080b7d90d5b,28.4533439,-81.4678778,Hotel,2.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77eff6afeb69b:0xd5ad5080b7d90d5b?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Empire Hotel Lobby Bar,0x89c258f5922d74b9:0x85af792fa088fefb,40.7713725,-73.982677,Hotel,4.2,94,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258f5922d74b9:0x85af792fa088fefb?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Hotel Deauville,0x89c259a78a9e2a79:0x830b08f0443eb24d,40.7438423,-73.9831275,Hotel,3.7,76,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a78a9e2a79:0x830b08f0443eb24d?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
"Drury Inn, Sand Lake Rd., Orlando",0x88e77f7762cab03f:0x46295078e70608a9,28.4293631,-81.4774237,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f7762cab03f:0x46295078e70608a9?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Tonga Longhouse at Disney's Polynesian Resort,0x88dd7e1941cb399d:0x5697a11a2cff71af,28.405708599999997,-81.58586439999999,Hotel,5.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd7e1941cb399d:0x5697a11a2cff71af?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Club Orlando,0x88e77c74923d5d41:0xf8ee6c06b2b3e5d8,28.4894553,-81.4041189,Hotel,4.0,83,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77c74923d5d41:0xf8ee6c06b2b3e5d8?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Building 57,0x88dd807d8d668539:0x149192272fffe1c7,28.398458599999998,-81.4724954,Hotel,4.8,14,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd807d8d668539:0x149192272fffe1c7?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel Central Times Square,0x89c2598c6c52ed1f:0x972b0c56d9023ac8,40.7544496,-73.99410309999999,Hotel,2.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2598c6c52ed1f:0x972b0c56d9023ac8?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
The Grand NYC Apartments,0x89c259a8c72ce547:0xb21944dfe33352a9,40.747208199999996,-73.98794509999999,Hotel,2.6,298,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a8c72ce547:0xb21944dfe33352a9?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Penn station nyc,0x89c259a586ccf82d:0x5ff48b58c7b23bf0,40.746209199999996,-73.99144,Hotel,3.4,16,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a586ccf82d:0x5ff48b58c7b23bf0?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Americas Best Value Inn Miami,0x87c817cc9f377fd3:0xdafc60aa25c3c4fc,36.8718417,-94.853432,Hotel,3.5,68,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87c817cc9f377fd3:0xdafc60aa25c3c4fc?authuser=-1&hl=en&gl=us,Ottawa County,Miami,Oklahoma,United States
107 Street Hotel Corporation,0x89c2f624ca06fd47:0x76b8d83895bdc9a6,40.8019429,-73.96679329999999,Hotel,4.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f624ca06fd47:0x76b8d83895bdc9a6?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Riff Downtown,0x89c25a10c46e5517:0xa6db57b222d111d9,40.7084385,-74.0136868,Hotel,3.6,118,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25a10c46e5517:0xa6db57b222d111d9?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Royal Stay,0x88d9b49c9f4f3c5b:0xfcf8423caaf2a06c,25.788152399999998,-80.13803829999999,Hotel,3.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b49c9f4f3c5b:0xfcf8423caaf2a06c?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Jade Bar,0x89c259a0fdcd87d9:0x31880442280dbcbc,40.7385531,-73.985895,Hotel,3.5,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a0fdcd87d9:0x31880442280dbcbc?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
New Paradise Men's Spa,0x89c258577a8cbecb:0x851478c97e1927cb,40.764861599999996,-73.9868137,Resort hotel,4.4,88,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258577a8cbecb:0x851478c97e1927cb?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Lakeside Cottages at The Bay Hill Club,0x88e77f792c8edcdd:0xc7d87716a09db9b7,28.458251599999997,-81.510665,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f792c8edcdd:0xc7d87716a09db9b7?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel Roma,0x88d9ae460471a9d7:0xcddde11ec6688375,25.928276,-80.2205929,Hotel,2.1,88,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9ae460471a9d7:0xcddde11ec6688375?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Hotel YMCA,0x89c2591d55b745d3:0xde073f30184532d3,40.7533935,-73.9710808,Hotel,3.3,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2591d55b745d3:0xde073f30184532d3?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
The Island Spa,0x88dd81b513158daf:0x196c2c57ba0a924b,28.3587495,-81.4923371,Resort hotel,4.5,38,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd81b513158daf:0x196c2c57ba0a924b?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Best Western Plus Seaport Inn Downtown,0x89c25a3cb220501d:0x69fe4bc857c0b3b9,40.7081065,-74.0013876,Hotel,4.0,78,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25a3cb220501d:0x69fe4bc857c0b3b9?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
"Sanctuary South Beach Condominium Association, Inc.",0x88d9b49b5b576239:0xdd9d1f37c9007c7b,25.793044899999998,-80.13049319999999,Hotel,3.3,65,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b49b5b576239:0xdd9d1f37c9007c7b?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Akal Hospitality LLC,0x88e77fead57e6f51:0x2208aaddda493b8c,28.430349,-81.49653599999999,Hotel,4.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77fead57e6f51:0x2208aaddda493b8c?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
The Setai Residences,0x88d9b49c4305a9b7:0x5e60064ec28d59e1,25.7954398,-80.12805039999999,Hotel,4.4,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b49c4305a9b7:0x5e60064ec28d59e1?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
